Details,Post Date,Description,Amount,Balance,Check or Slip #
DEBIT,1/13/2018,tempor convallis nulla neque libero,$35.45,$596.56,
DEBIT,1/3/2018,non interdum in ante,$65.33,$669.69,
Payment,7/22/2017,quis lectus suspendisse potenti in,$73.99,$835.82,
DEBIT,3/11/2018,feugiat et eros vestibulum ac,$-64.95,$754.11,
DEBIT,10/10/2017,pretium quis lectus suspendisse potenti,$-38.51,$551.43,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
DEBIT,8/9/2017,ultrices enim lorem ipsum dolor,$9.77,$629.37,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
DEBIT,4/14/2018,quis libero nullam sit,$-12.86,$755.58,
Payment,5/5/2017,rhoncus dui vel sem sed,$-65.69,$526.39,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
DEBIT,12/2/2017,vivamus tortor duis mattis egestas,$20.59,$973.50,nam dui proin leo odio porttitor id consequat in consequat ut
DEBIT,7/28/2017,rutrum ac lobortis,$38.68,$885.59,
DEBIT,4/10/2017,vestibulum ante ipsum,$77.14,$686.93,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
Payment,10/13/2017,lacus at turpis donec posuere,$-72.54,$648.23,
Payment,6/3/2017,cubilia curae duis faucibus accumsan odio,$31.39,$932.65,
DEBIT,11/27/2017,proin eu mi,$-77.82,$716.69,
DEBIT,8/30/2017,id sapien in sapien iaculis congue,$-47.52,$916.40,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
Payment,4/19/2017,ut dolor morbi vel,$-26.04,$796.75,
Payment,12/27/2017,curae mauris viverra diam vitae,$-98.78,$600.61,
DEBIT,8/22/2017,ipsum aliquam non mauris morbi non,$-43.88,$516.38,
Payment,7/6/2017,ultrices libero non mattis,$22.23,$764.63,
Payment,2/11/2018,fermentum justo nec condimentum,$28.20,$573.71,
DEBIT,3/29/2018,tincidunt in leo maecenas pulvinar lobortis,$93.99,$505.52,
Payment,7/31/2017,sit amet eleifend,$-98.35,$902.26,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu
Payment,2/22/2018,aliquam non mauris morbi non,$92.16,$556.99,
DEBIT,12/10/2017,amet sem fusce consequat nulla nisl,$-61.70,$841.72,
Payment,3/4/2018,non mauris morbi non lectus,$-65.85,$798.49,at turpis donec posuere metus vitae ipsum aliquam non mauris
Payment,8/17/2017,diam in magna bibendum,$-91.05,$531.53,
Payment,5/2/2017,amet consectetuer adipiscing elit proin risus,$-1.38,$575.81,
Payment,4/2/2017,sed sagittis nam,$-67.39,$625.11,
DEBIT,5/15/2017,neque aenean auctor gravida,$52.11,$533.43,
DEBIT,9/29/2017,posuere cubilia curae,$-83.20,$785.23,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
Payment,8/31/2017,mi integer ac neque,$16.66,$997.96,
DEBIT,8/15/2017,justo aliquam quis turpis,$-17.13,$712.69,
Payment,4/10/2018,integer aliquet massa,$96.92,$536.45,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
Payment,11/14/2017,lacus morbi quis tortor id nulla,$-74.63,$510.07,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros
DEBIT,1/19/2018,nec nisi volutpat eleifend,$-12.72,$597.97,
DEBIT,1/27/2018,sit amet eros suspendisse accumsan,$19.37,$906.89,
Payment,12/5/2017,dolor sit amet consectetuer adipiscing elit,$-3.59,$860.39,
Payment,2/13/2018,cubilia curae duis faucibus accumsan odio,$-46.49,$840.48,
Payment,10/30/2017,posuere felis sed lacus morbi,$21.83,$815.36,
DEBIT,5/6/2017,a nibh in,$-93.83,$726.96,
DEBIT,10/2/2017,posuere cubilia curae duis faucibus accumsan,$15.48,$761.84,
DEBIT,8/29/2017,elementum pellentesque quisque porta volutpat erat,$-72.19,$624.19,
DEBIT,4/16/2017,venenatis non sodales sed tincidunt eu,$89.33,$885.92,
Payment,10/23/2017,phasellus id sapien in sapien,$-50.43,$992.32,
Payment,10/29/2017,pede ullamcorper augue,$78.04,$979.23,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
Payment,10/7/2017,duis bibendum felis sed,$-20.10,$954.84,
Payment,11/11/2017,erat curabitur gravida nisi at nibh,$47.96,$913.67,
DEBIT,2/6/2018,nulla suspendisse potenti cras,$5.14,$566.14,
Payment,6/16/2017,habitasse platea dictumst,$-25.36,$727.02,
Payment,4/1/2018,purus aliquet at feugiat non pretium,$2.66,$824.38,
Payment,11/2/2017,ligula in lacus curabitur,$13.69,$942.01,
DEBIT,11/11/2017,pede justo eu massa donec,$85.35,$517.08,
Payment,6/16/2017,rhoncus dui vel sem sed sagittis,$-76.87,$621.65,
Payment,5/1/2017,quis orci eget,$-52.86,$684.00,
DEBIT,12/22/2017,nisl ut volutpat sapien arcu,$-70.49,$923.05,
DEBIT,11/17/2017,tempus vel pede,$16.31,$943.32,
Payment,4/9/2018,volutpat sapien arcu sed augue aliquam,$-53.06,$687.53,
DEBIT,5/7/2017,duis consequat dui nec nisi volutpat,$-23.02,$890.71,
Payment,3/6/2018,vulputate justo in blandit ultrices,$-53.35,$539.80,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
Payment,12/11/2017,libero ut massa volutpat,$88.22,$635.67,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
DEBIT,6/24/2017,pellentesque ultrices phasellus id sapien,$88.14,$947.93,
Payment,4/17/2017,volutpat eleifend donec ut dolor,$-30.27,$967.34,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Payment,8/27/2017,erat eros viverra eget congue,$56.52,$750.50,
DEBIT,4/14/2018,integer non velit donec,$-48.43,$940.16,
DEBIT,7/8/2017,ipsum praesent blandit,$65.42,$539.84,
Payment,6/8/2017,magna vestibulum aliquet ultrices,$-4.49,$744.05,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
Payment,7/21/2017,nulla quisque arcu libero rutrum ac,$71.81,$818.51,
Payment,3/25/2018,id nisl venenatis,$-43.18,$906.58,
DEBIT,8/8/2017,est risus auctor sed tristique,$-56.99,$524.45,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
Payment,8/11/2017,pulvinar nulla pede ullamcorper augue a,$-13.04,$902.73,
DEBIT,10/20/2017,et ultrices posuere cubilia,$-55.33,$546.29,dolor quis odio consequat varius integer ac leo pellentesque ultrices
DEBIT,5/26/2017,vel augue vestibulum rutrum rutrum,$-35.86,$607.15,
DEBIT,10/6/2017,nunc purus phasellus in felis donec,$67.62,$992.59,
Payment,5/22/2017,rhoncus mauris enim leo rhoncus sed,$-19.06,$556.63,
Payment,7/22/2017,vel dapibus at diam nam tristique,$-84.89,$796.10,
Payment,8/20/2017,rutrum neque aenean auctor gravida sem,$-91.48,$835.29,
DEBIT,1/5/2018,augue vestibulum rutrum rutrum,$-85.13,$537.18,
DEBIT,12/2/2017,nec sem duis aliquam,$57.55,$697.60,
DEBIT,10/16/2017,pellentesque volutpat dui maecenas,$15.03,$803.13,
Payment,12/23/2017,cubilia curae nulla dapibus,$98.52,$669.18,
Payment,4/30/2017,leo pellentesque ultrices mattis,$-39.84,$601.98,
Payment,11/8/2017,mi in porttitor,$68.95,$609.99,
Payment,4/3/2017,nonummy maecenas tincidunt lacus at,$-53.14,$656.16,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
DEBIT,10/11/2017,id pretium iaculis,$-14.98,$521.05,
DEBIT,2/20/2018,etiam pretium iaculis justo,$-81.48,$945.21,
Payment,1/16/2018,sapien dignissim vestibulum,$60.96,$584.50,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
Payment,7/24/2017,maecenas tristique est et tempus,$28.24,$649.21,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
DEBIT,6/10/2017,ut mauris eget massa tempor convallis,$75.44,$988.87,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
DEBIT,12/4/2017,quam turpis adipiscing lorem vitae,$-53.21,$669.31,
DEBIT,4/17/2018,nullam porttitor lacus at,$81.52,$705.58,
DEBIT,3/9/2018,et tempus semper,$35.82,$662.85,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
Payment,5/22/2017,platea dictumst etiam faucibus,$46.91,$882.07,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
Payment,12/31/2017,turpis a pede posuere nonummy,$41.59,$559.92,
DEBIT,6/9/2017,arcu libero rutrum,$1.74,$954.86,
Payment,7/25/2017,vel lectus in quam fringilla,$-68.99,$908.93,
DEBIT,4/17/2018,porttitor id consequat in consequat,$-13.87,$520.28,
Payment,2/5/2018,praesent blandit lacinia,$66.34,$719.69,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
DEBIT,10/26/2017,lectus in quam fringilla rhoncus,$-81.40,$984.27,
Payment,3/11/2018,pulvinar sed nisl nunc,$-11.49,$572.25,
Payment,3/16/2018,massa tempor convallis,$53.80,$829.26,
